owner_id,venue_name,category,province
101,Urban Loft Co-Working,party,nakhon pathom
102,Skyline Film Studio,staycation,nakhon pathom
103,Grand Meeting Hall,party,pathum thani
104,Sunset Party Lounge,private party,nakhon pathom
105,Elite Private Villa,private party,samut sakhon
106,Ever After Wedding Hall,co-working space,samut prakan
107,Creative Workshop Space,wedding,nakhon pathom
108,Cozy Staycation Home,wedding,bangkok
109,Riverfront Co-Working Hub,private party,nonthaburi
110,Horizon Film Location,meeting,bangkok
111,Executive Boardroom,private party,bangkok
112,Starry Night Party Venue,co-working space,pathum thani
113,Secret Garden Villa,workshop,samut sakhon
114,Royal Wedding Pavilion,meeting,bangkok
115,Innovation Workshop Hub,co-working space,pathum thani
116,Beachside Staycation Resort,wedding,bangkok
117,Central Hub Co-Working,wedding,samut prakan
118,Studio X Film Set,staycation,nakhon pathom
119,Summit Conference Room,film,nakhon pathom
120,Neon Lights Party Hall,wedding,nonthaburi
121,Prestige Private Mansion,film,nonthaburi
122,Blossom Wedding Venue,staycation,samut sakhon
123,The Artistry Workshop,private party,samut sakhon
124,Lakeview Staycation Villa,meeting,samut prakan
125,Metro Office Co-Working,party,nakhon pathom
126,Indie Film Warehouse,party,nonthaburi
127,Sky Tower Meeting Room,film,nonthaburi
128,Retro Party House,film,samut prakan
129,Harmony Private Resort,film,bangkok
130,Majestic Grand Wedding Hall,co-working space,samut prakan
